Identifiant;Active (0/1);Nom;Catégories (x,y,z...);Prix HT;ID règles de taxes;Prix d'achat;En soldes (0/1);Montant de réduction;Pourcentage de réduction;Réduction de (aaaa-mm-jj);Réduction à  (aaaa-mm-jj);Référence;Référence fournisseur;Fournisseur;Fabricant;EAN13;UPC;Eco taxe;Largeur (cm);Hauteur (cm);Profondeur (cm);Poids (kg);Quantité;Quantité minimale;Visibilité;Frais de port supplémentaire;Unité;Ratio de prix unitaire;Description courte (html);Description (html);Tags (x,y,z...);Balise de titre;Méta mots-clés;Méta description;URL simplifiée;"Texte ""En stock""";"Texte ""En commande"" (si autorisé)";Disponible à la commande (0 = Non, 1 = Oui);Date de disponibilité du produit;Date d'ajout d'un produit;Afficher le prix (0 = Non, 1 = Oui);URLs des images (x,y,z...);Supprimer les images existantes (0 = non, 1 = oui);Caractéristique(Nom:Valeur);Disponible en ligne uniquement (0 = Non, 1 = Oui);Etat;Personnalisable (0 = Non, 1 = Oui);Fichiers téléchargeables (0 = Non, 1 = Oui);Champs text (0 = Non, 1 = Oui);Si rupture de stock;Gestion des stocks avancée;ID ou nom de la boutique
2429905;0;Diffuseur de parfum à tiges150ml, rhum tabac;15,14,3;21;1;;0;;;;;2429905;;;;3023674299058;;0;;;;;10;1;;;;;;<p>Dissimulé dans son emballage sobre et moderne, ce diffuseur de parfum rhum tabac regorge de masculinité. Ce parfum d’ambiance dissimule aux premiers accords, ses effluves de rhum arrangé. On y découvre ensuite subtilement des notes de miel ainsi que des arômes de tabac : une fragrance originale et surprenante.<br>Alliance de raffinement et de sophistication, ce diffuseur d’intérieur enveloppera votre pièce dans la chaleur d’une évasion cubaine.<br>Pour prolonger cet instant de dépaysement, optez pour la recharge de diffuseur de parfum rhum tabac.<br>Parfum d’ambiance fabriqué en France. Parfum de Grasse : Rhum tabac.</p>;;Diffuseur de parfum à tiges 6 semaines, rhum tabac – Bougies La Française;;A l’allure masculine, ce diffuseur de parfum contemporain rhum tabac libère les senteurs d’un rhum arrangé. Ce parfum d'ambiance vous immerge dans l’intimité d’une ambiance tamisée.;diffuseur-de-parfum-a-tiges-150ml-rhum-tabac ;;;1;;2016-05-31;1;;;Hauteur:130,Diamètre:70,Durée de combustion:6 semaines,Collection:Lounge Spirit,Parfum:Rhum tabac;0;;0;0;0;0;0;1
2429910;0;Diffuseur de parfum à tiges150ml, vanille épicée;15,14,3;21;1;;0;;;;;2429910;;;;3023674299102;;0;;;;;10;1;;;;;;<p>Au design moderne et masculin, le diffuseur de parfum vanille épicée vous immerge dans l’intimité d’un espace confiné. Doté d’une allure un brin dandy, ce diffuseur d’ambiance préserve les secrets d’un voyage olfactif à travers les sens…<br>Ce parfum d’intérieur révèle une multitude de facettes. Dans une envolée de notes fruitées et anisées, ce diffuseur d’ambiance  éveille les sens. La fraîcheur de ces premiers accords laisse place à un caractère épicé avant de se poser sur  la chaleur d’un fond oriental.<br>Pour une occasion spéciale, ou simplement pour le plaisir d’offrir, surprenez-le en lui offrant ce parfum d’intérieur.<br>Découvrez aussi toute notre sélection de diffuseurs de parfum Lounge spirit.<br>Parfum d’ambiance fabriqué en France. Parfum de Grasse : Vanille épicée.</p>;;Diffuseur de parfum à tiges 6 semaines, vanille épicée – Bougies La Française;;Au design moderne et masculin, le diffuseur de parfum vanille épicée vous immerge dans l’intimité d’un espace confiné. Élégant et charnel, ce diffuseur d'ambiance vanille épicée révèle un parfum de caractère.;diffuseur-de-parfum-a-tiges-150ml-vanille-epicee;;;1;;2016-05-31;1;;;Hauteur:130,Diamètre:70,Durée de combustion:6 semaines,Collection:Lounge Spirit,Parfum:Vanille épicée;0;;0;0;0;0;0;1
2429915;0;Diffuseur de parfum à tiges150ml, moka tonka;15,14,3;21;1;;0;;;;;2429915;;;;3023674299157;;0;;;;;10;1;;;;;;<p>Dans un design moderne et raffiné, le diffuseur de parfum moka tonka se pare d’une couleur à la fois brillante et mate évoquant la richesse de son sillage. Elégant et pratique, ce diffuseur d’ambiance préserve tous les arômes de ce parfum d’intérieur.<br>Retrouvez dans cette fragrance, les saveurs gustatives et sauvages du moka. Le parfum corsé de ce diffuseur d’ambiance s’arrondit sur la douceur florale du jasmin. La senteur se réchauffe et se part de notes boisées, lui conférant une mystérieuse sensualité à l’image de la splendeur des terres d’Afrique.<br>Découvrez aussi toute notre sélection de cadeaux parfumés masculins et trouvez la senteur qui éveillera ses sens.<br>Parfum d’ambiance fabriqué en France. Parfum de Grasse : Moka tonka.</p>;;Diffuseur de parfum à tiges 6 semaines, moka tonka – Bougies La Française;;Le diffuseur de parfum moka tonka se pare d'un élégant couvercle préservant tous les arômes de ce parfum d'intérieur : une fragrance  aux notes de café, jasmin et vanille.;diffuseur-de-parfum-a-tiges-150ml-moka-tonka;;;1;;2016-05-31;1;;;Hauteur:130,Diamètre:70,Durée de combustion:6 semaines,Collection:Lounge Spirit,Parfum:Moka tonka;0;;0;0;0;0;0;1
2429920;0;Diffuseur de parfum à tiges150ml, cèdre cachemire;15,14,3;21;1;;0;;;;;2429920;;;;3023674299201;;0;;;;;10;1;;;;;;<p>Dans un soupçon de dandysme, le diffuseur de parfum cèdre cachemire revêt une précieuse teinte mate et brillante. Véritable objet de décoration, ce diffuseur d’ambiance habillera votre intérieur avec élégance. Glissez-y ces tiges en rotin et ce parfum d’intérieur dévoilera sa part de mystère !<br>S’inspirant d’une écorce de cèdre enveloppée dans la volupté d’une étole de cachemire, cette fragrance révèle le parfum d’un arbre majestueux. S’ouvrant sur la tonicité de notes hespéridées, ce parfum d’ambiance affirme son caractère en libérant des tonalités boisées et épicées. Le sillage de cette senteur s’éteint dans l’éclat d’un fond ambré...<br>Prolongez ce moment de plaisir en optant pour la recharge de diffuseur cèdre cachemire<br>Parfum d’ambiance fabriqué en France. Parfum de Grasse : Cèdre Cachemire.</p>;;Diffuseur de parfum à tiges 6 semaines, cèdre cachemire – Bougies La Française;;Véritable objet de décoration, ce diffuseur de parfum cèdre cachemire habille votre intérieur avec élégance. Glissez-y ces tiges et ce parfum d'intérieur dévoilera sa part de mystère !;diffuseur-de-parfum-a-tiges-150ml-cedre-cachemire;;;1;;2016-05-31;1;;;Hauteur:130,Diamètre:70,Durée de combustion:6 semaines,Collection:Lounge Spirit,Parfum:Cèdre cachemire;0;;0;0;0;0;0;1
2429925;0;Diffuseur de parfum à tiges150ml, teck tanaka;15,14,3;21;1;;0;;;;;2429925;;;;3023674299256;;0;;;;;10;1;;;;;;<p>Dans un design épuré et précieux, le diffuseur de parfum teck tanaka se pare d’un revêtement mate et brillant sous lequel sont dissimulées ses élégantes senteurs. Ce diffuseur d’ambiance, à l’allure un brin dandy, vous garantit un véritable voyage à travers les sens.<br>Composée autour de l’élégance du teck, ce parfum d’intérieur installe le sillage d’un arbre tropical dans votre salon. Dans une envolée de notes citronnées, ce parfum d’ambiance glisse peu à peu sur la richesse d’un cœur épicé avant de se poser dans un fond à la fois aux facettes musquées, ambrées et subtilement vanillées…<br>Vous avez apprécié la senteur de notre diffuseur d’intérieur Teck Tanaka ? Découvrez toutes les fragrances uniques de nos diffuseurs de parfum boisés.<br>Parfum d’ambiance fabriqué en France. Parfum de Grasse : Teck tanaka.</p>;;Diffuseur de parfum à tiges 6 semaines, teck tanaka – Bougies La Française;;Dans un design soigné, le diffuseur de parfum teck tanaka dissimule ses senteurs boisées et épicées sous un couvercle mate. Ce parfum d'ambiance vous garantit un voyage à travers les sens.;diffuseur-de-parfum-a-tiges-150ml-teck-tanaka;;;1;;2016-05-31;1;;;Hauteur:130,Diamètre:70,Durée de combustion:6 semaines,Collection:Lounge Spirit,Parfum:Teck tanaka;0;;0;0;0;0;0;1
2429930;0;Diffuseur de parfum à tiges150ml, cuir wengé;15,14,3;21;1;;0;;;;;2429930;;;;3023674299300;;0;;;;;10;1;;;;;;<p>Découvrez cet élégant diffuseur de parfum cuir wengé à l’allure matte et brillante. Ce diffuseur d’ambiance vous entraîne dans une évasion olfactive moderne et masculine. Glissez-ici ses tiges en rotin et découvrez les secrets de ce parfum d’intérieur.<br>Ce diffuseur d’intérieur vous installera dans le confort d’un fauteuil en cuir vieilli. Le parfum d’ambiance révèle l’opulence de ses effluves boisés et dévoile des dernières notes au fond gourmand et vanillé.<br>A la recherche du cadeau idéal ? Découvrez toute notre sélection de … Et faites-le craquer !<br>Parfum d’ambiance fabriqué en France. Parfum de Grasse : Cuir wengé.</p>;;Diffuseur de parfum à tiges 6 semaines, cuir wengé – Bougies La Française;;Le diffuseur de parfum cuir wengé vous entraîne dans une évasion olfactive moderne et masculine. Son élégant couvercle mate dissimule les secrets de ce parfum d'ambiance cuir wengé !;diffuseur-de-parfum-a-tiges-150ml-cuir-wenge;;;1;;2016-05-31;1;;;Hauteur:130,Diamètre:70,Durée de combustion:6 semaines,Collection:Lounge Spirit,Parfum:Cuir wengé;0;;0;0;0;0;0;1
2429931;0;Recharge diffuseur de parfum 150ml, rhum tabac;15,14,3;5;1;;0;;;;;2429931;;;;3023674299317;;0;;;;;10;1;;;;;;<p>Cette recharge de diffuseur de parfum rhum tabac réinterprète les concepts de l’esprit lounge pour vous plonger dans l’intimité d’une atmosphère feutrée. Placée dans son diffuseur d’ambiance à l’allure masculine, ce parfum d’intérieur se pare d’une élégance citadine pour devenir un véritable objet de décoration.<br>Portée par les effluves d’un rhum arrangé, ce parfum d’ambiance vous immergera dans l’authenticité d’une escapade cubaine. La fragrance liquoreuse de cette recharge parfumée se réchauffe sur un cœur épicé et miellé. Entraîné dans la richesse d’un fond boisé par des notes de tabac, ce parfum d’intérieur dévoile le sillage enivrant d’une volute de Havane.<br>Vous avez apprécié la senteur cette recharge de diffuseur rhum tabac ? Découvrez nos diffuseurs d'intérieur épicés,<br>Parfum d’ambiance fabriqué en France. Parfum de Grasse : Rhum tabac.</p>;;Recharge diffuseur de parfum 6 semaines, rhum tabac – Bougies La Française;;La recharge de diffuseur de parfum rhum tabac vous plonge dans les senteurs d’un rhum arrangé. Ce parfum d'intérieur vous immerge dans l’authenticité d’une escapade cubaine.;recharge-diffuseur-de-parfum-150ml-rhum-tabac;;;1;;2016-05-31;1;;;Hauteur:138,Diamètre:43,Durée de combustion:6 semaines,Collection:Lounge Spirit,Parfum:Rhum tabac;0;;0;0;0;0;0;1
2429932;0;Recharge diffuseur de parfum 150ml, vanille épicée;15,14,3;5;1;;0;;;;;2429932;;;;3023674299324;;0;;;;;10;1;;;;;;<p>Adoptant les codes sophistiqués du concept lounge, cette recharge de diffuseur de parfum vanille épicée révèle l’intimité d’une atmosphère feutrée. Placé dans son diffuseur d’intérieur au design moderne et masculin, ce parfum d’ambiance donne à votre salon une allure encore plus raffinée.<br>Portée par la fraîcheur de ses premières notes fruitées, cette recharge parfumée dévoile une fragrance mystérieuse aux multiples facettes. La légèreté des accords de ce parfum d’intérieur se laisse lentement envahir par un mariage d’épices. Dans un véritable voyage olfactif, la fragrance se part de notes orientales : senteur surprenante !<br>Découvrez aussi toutes nos bougies parfumées de la gamme Lounge Spirit.<br>Parfum d’ambiance fabriqué en France. Parfum de Grasse : Vanille épicée.</p>;;Recharge diffuseur de parfum 6 semaines, vanille épicée – Bougies La Française;;La recharge de diffuseur de parfum vanille épicée se pare d’un design moderne pour donner à votre décoration une allure raffinée. Succombez à la fragrance de mystères de ce diffuseur parfumé vanille épicée.;recharge-diffuseur-de-parfum-150ml-vanille-epicee;;;1;;2016-05-31;1;;;Hauteur:138,Diamètre:43,Durée de combustion:6 semaines,Collection:Lounge Spirit,Parfum:Vanille épicée;0;;0;0;0;0;0;1
2429933;0;Recharge diffuseur de parfum 150ml, moka tonka;15,14,3;5;1;;0;;;;;2429933;;;;3023674299331;;0;;;;;10;1;;;;;;<p>La recharge de parfum moka tonka, glissé dans son diffuseur d’ambiance devient l’objet de toutes les convoitises. Ce parfum d’intérieur révélé une atmosphère masculine d’une extrême élégance.<br>S’inspirant de l’authenticité d’un café racé, ce parfum d’ambiance moka tonka vous embarque dans un voyage olfactif en plein cœur de l’Ethiopie. La fragrance dévoile des notes gustatives du moka et se prolonge sur la douceur florale du jasmin, lentement entrainé dans la richesse d’un sillage boisé.<br>Entre raffinement et rêves d’évasion, découvrez le diffuseur de parfum rhum tabac pour profiter d’un voyage olfactif à l’autre bout du monde.<br>Parfum d’ambiance fabriqué en France. Parfum de Grasse : Moka tonka.</p>;;Recharge diffuseur de parfum 6 semaines, moka tonka – Bougies La Française;;Placé dans son diffuseur d'ambiance, cette recharge de parfum d'intérieur dévoile une fragrance masculine. Les notes gustatives du moka libèrent les senteurs d’un café de caractère.;recharge-diffuseur-de-parfum-150ml-moka-tonka;;;1;;2016-05-31;1;;;Hauteur:138,Diamètre:43,Durée de combustion:6 semaines,Collection:Lounge Spirit,Parfum:Moka tonka;0;;0;0;0;0;0;1
2429934;0;Recharge diffuseur de parfum 150ml, cèdre cachemire;15,14,3;5;1;;0;;;;;2429934;;;;3023674299348;;0;;;;;10;1;;;;;;<p>La recharge de diffuseur de parfum cèdre cachemire, glissée dans son diffuseur d’intérieur, procure une atmosphère masculine d’une extrême élégance.<br>Révélant les effluves d’un arbre majestueux évoluant au fil des siècles, ce parfum d’ambiance vous entrainera à travers les plus belles terres d’Afrique. Portée par de pétillantes notes hespéridées, la recharge parfumée se pare de tonalités boisées et épicées. Sur la sensualité d’un fond ambré, ce parfum d’intérieur dévoile toute sa splendeur…<br>Pour une ambiance à la fois parfumée et tamisée, craquez pour la bougie XL cèdre cachemire..<br>Parfum d’ambiance fabriqué en France. Parfum de Grasse : Cèdre cachemire.</p>;;Recharge diffuseur de parfum 6 semaines, cèdre cachemire – Bougies La Française;;Placé dans son diffuseur d'intérieur à l'allure moderne et masculine, cette recharge de parfum d'ambiance cèdre cachemire affirme son caractère dans un cœur aux senteurs boisées et épicées.;recharge-diffuseur-de-parfum-150ml-cedre-cachemire;;;1;;2016-05-31;1;;;Hauteur:138,Diamètre:43,Durée de combustion:6 semaines,Collection:Lounge Spirit,Parfum:Cèdre cachemire;0;;0;0;0;0;0;1
2429935;0;Recharge diffuseur de parfum 150ml, teck tanaka;15,14,3;5;1;;0;;;;;2429935;;;;3023674299355;;0;;;;;10;1;;;;;;<p>Placée dans son diffuseur d’ambiance, la recharge parfumée teck tanaka apporte une touche de prestance à votre décor et libère une élégante atmosphère masculine.<br>Ce parfum d’intérieur dévoile les mystérieux effluves d’un arbre tropical. Composée autour de la splendeur du teck, la fragrance laisse échapper des notes de cannelle et de vanille. Peu à peu,  ce parfum d’ambiance se pare de tonalités musquées, et poudrées, lui conférant un sillage exotique d’une volupté surprenante.<br>Retrouvez toutes nos senteurs vertes et racées avec notre collection de diffuseurs de parfum boisés.<br>Parfum d’ambiance fabriqué en France. Parfum de Grasse : Teck tanaka.</p>;;Recharge diffuseur de parfum 6 semaines, teck tanaka – Bougies La Française;;Composée autour du teck, cette recharge de diffuseur de parfum dévoile les mystérieuses senteurs boisées d’un arbre tropical. Placé dans son diffuseur d'intérieur, ce parfum d'ambiance vous garantit un voyage à travers les sens.;recharge-diffuseur-de-parfum-150ml-teck-tanaka;;;1;;2016-05-31;1;;;Hauteur:138,Diamètre:43,Durée de combustion:6 semaines,Collection:Lounge Spirit,Parfum:Teck tanaka;0;;0;0;0;0;0;1
2429936;0;Recharge diffuseur de parfum 150ml, cuir wengé;15,14,3;5;1;;0;;;;;2429936;;;;3023674299362;;0;;;;;10;1;;;;;;<p>Tendance et masculine, cette recharge parfumée cuir wengé se place dans son diffuseur d’ambiance design et moderne.<br>Ce parfum d’intérieur vous glisse immédiatement dans les volutes d’un fauteuil en cuir vieilli. Cette fragrance joue la carte de la séduction en libérant des notes boisées et gourmandes. Peu à peu, le parfum d’ambiance se prolonge sur des effluves vanillés…<br>Retrouvez toute notre collection de  et profitez d’un voyage olfactif à l’autre bout du monde.<br>Parfum d’ambiance fabriqué en France. Parfum de Grasse : Cuir wengé.</p>;;Recharge diffuseur de parfum 6 semaines, cuir wengé – Bougies La Française;;Cette recharge de diffuseur de parfum cuir wengé vous glissera dans les volutes d’un fauteuil en cuir vieilli. Placé dans son diffuseur d'ambiance, ce parfum d'intérieur apportera une senteur masculine.;recharge-diffuseur-de-parfum-150ml-cuir-wenge;;;1;;2016-05-31;1;;;Hauteur:138,Diamètre:43,Durée de combustion:6 semaines,Collection:Lounge Spirit,Parfum:Cuir wengé;0;;0;0;0;0;0;1
2429940;0;Coffret 3 mini-verres Lounge Spirit, moka tonka, vanille épicée et cèdre cachemire;15,14,3;16,9;1;;0;;;;;2429940;;;;3023674299409;;0;;;;;10;1;;;;;;"<p>Redécouvrez vos parfums préférés de notre collection Lounge Spirit, en nouveaux formats avec ce coffret parfumé 3 mini-verres aux parfums masculins : Moka tonka, Vanille épicée et Cèdre cachemire.
Parfum Moka tonka<br>Cette bougie parfumée dévoile des notes gustatives de café et se prolonge sur la douceur florale du jasmin, lentement entrainée dans la richesse d’un sillage vanillé et musqué.<br>Parfum Vanille épicée<br>Éveillant les sens, les premières notes fruitées de cette bougie parfumée s’ouvrent sur  des effluves épicées d’une note d’orange. Doucement, le parfum laisse place à un sillage oriental.<br>Parfum Cèdre cachemire<br>La bougie parfumée cèdre cachemire révèle toute sa splendeur. S’ouvrant sur des notes hespéridées, cette bougie senteur affirme son caractère à  travers des tonalités boisées et épicées.<br>Parfums originaux, masculins et élégants, ce coffret cadeau est le cadeau idéal pour la fête des pères.</p>";;Coffret cadeau parfumé, 3 mini-verres Lounge Spirit – Bougies la Française;;Découvrez les parfums masculins et élégants de la gamme Lounge Spirit dans un nouveau format : moka tonka, vanille épicée et cèdre cachemire. Coffret cadeau idéal à offrir ou pour se faire plaisir.;Coffret-cadeau-mini-verres-parfumes-lounge-spirit;;;1;;2016-05-31;1;;;Hauteur:70,Diamètre:57,Durée de combustion:20 heures,Collection:Lounge Spirit,Parfum:Moka tonka,vanille épicée,cèdre cachemire;0;;0;0;0;0;0;1
