Identifiant;Active (0/1);Nom;Categories (x,y,z...);Prix HT;ID règles de taxes;Prix d'achat;En soldes (0/1);Montant de réduction;Pourcentage de réduction;Réduction de (aaaa-mm-jj);Réduction Ã  (aaaa-mm-jj);Référence;Référence fournisseur;Fournisseur;Fabricant;EAN13;UPC;Eco taxe;Largeur (cm);Hauteur (cm);Profondeur (cm);Poids (kg);Quantité;Quantité minimale;Visibilité;Frais de port supplémentaire;Unité;Ratio de prix unitaire;Description courte (html);Description (html);Tags (x,y,z...);Balise de titre;MÃ©ta mots-clÃ©s;MÃ©ta description;URL simplifiÃ©e;"Texte ""En stock""";"Texte ""En commande"" (si autorisé)";Disponible Ã  la commande (0 = Non, 1 = Oui);Date de disponibilité du produit;Date d'ajout d'un produit;Afficher le prix (0 = Non, 1 = Oui);URLs des images (x,y,z...);Supprimer les images existantes (0 = non, 1 = oui);Caractéristique(Nom:Valeur);Disponible en ligne uniquement (0 = Non, 1 = Oui);Etat;Personnalisable (0 = Non, 1 = Oui);Fichiers téléchargeables (0 = Non, 1 = Oui);Champs text (0 = Non, 1 = Oui);Si rupture de stock;Gestion des stocks avancée;ID ou nom de la boutique
2391845;1;Diffuseur de parfum à tiges 150ml santal troublant;12,11,3;31,92;1;;0;;;;;2391845;;;;3023673918455;;0;;;;;10;1;;;;;;<p>Dans une signature olfactive riche et précieuse, le diffuseur de parfum santal troublant dévoilera le sillage unique d’un bois du bout du monde.<br> Dès les premières notes, ce parfum d’ambiance s’ouvre sur des accents de cardamone. Construit autour d’un accord oriental, la légèreté d’un cœur floral s’unit au caractère du patchouli. Les effluves de ce diffuseur d’intérieur s’enroulent doucement dans le confort du santal… Ce « bois sacré » se pare de tonalités suaves et révèle une sensualité captivante.<br> Grâce aux tiges en bois fournies, ce bouquet parfumé diffusera sa senteur pendant plusieurs semaines. Doté d’une élégance intemporelle, le flacon en verre s’intégrera parfaitement dans votre intérieur.<br>Découvrez toute notre collection de diffuseurs d’ambiance boisés et invitez votre esprit à l’apaisement et à la méditation.<br> Parfum d’ambiance fabriqué en France. Parfum de Grasse : Santal troublant.</p>;;Diffuseur de parfum santal Quintessence;;;diffuseur-de-parfum-a-tiges-150ml-santal-troublant;;;1;;2016-04-19;1;;;Hauteur:140,Diamètre:58,Poids:435,Durée de combustion:2mois,Collection:Quintessence,Parfum:Santal troublant;0;;0;0;0;0;0;1
2391855;1;Diffuseur de parfum à tiges 150ml mimosa solaire;12,11,3;31,92;1;;0;;;;;2391855;;;;3023673918554;;0;;;;;10;1;;;;;;<p>Le diffuseur de parfum mimosa solaire embaumera votre intérieur de subtils effluves doux et délicats. Placé sous le signe de la tendresse, ce parfum d’ambiance procurera une atmosphère apaisante à votre pièce.<br> Cette senteur d’intérieur dévoile dès les premières notes un sublime accord entre la fraîcheur de l’anis et la légèreté d’un cœur floral. Rehaussé par l’éclat des pétales du mimosa, ce bouquet parfumée libère dans ses dernières notes poudrées, l’incroyable sensibilité du « Soleil d’hiver ».<br> Les tiges en bois fournies délivrent uniformément les effluves de ce parfum d’intérieur pendant plusieurs semaines. Le flacon de ce diffuseur d’ambiance, habillé d’un nœud discret, complètera de manière subtile et raffinée votre décoration de style classique.<br> Prolongez cette ambiance grâce à la recharge de diffuseur de parfum mimosa solaire et à la recharge de 16 bâtonnets.<br> Parfum d’ambiance fabriqué en France. Parfum de Grasse : Mimosa solaire.</p>;;Diffuseur de parfum mimosa Quintessence;;;diffuseur-de-parfum-a-tiges-150ml-mimosa-solaire;;;1;;2016-04-19;1;;;Hauteur:140,Diamètre:58,Poids:435,Durée de combustion:2mois,Collection:Quintessence,Parfum:Mimosa solaire;0;;0;0;0;0;0;1
2391865;1;Diffuseur de parfum à tiges 150ml rose éternelle;12,11,3;31,92;1;;0;;;;;2391865;;;;3023673918653;;0;;;;;10;1;;;;;;<p>Le diffuseur de parfum rose éternelle enveloppera votre intérieur de l’ambiance douce et poétique d’un incroyable ballet floral autour de la rose.<br> Dotée des délicates notes parfumées de roses fraîchement coupées, ce diffuseur d’ambiance laisse échapper les effluves romantiques d’un cœur onctueusement fleuri. Une belle composition florale dans laquelle les dernières notes poudrées subliment la quintessence de la « Reine des fleurs ».<br> La senteur est diffusée pendant plusieurs semaines de manière uniforme et constante grâce aux tiges de bois fournies avec le diffuseur d’intérieur. Présenté dans un élégant flacon en verre, ce parfum d’ambiance apportera une touche de charme à votre intérieur.<br> Florales, fruitées ou orientales, découvrez toutes nos recharges de diffuseur de parfum et partagez vos instants de plaisirs olfactifs.<br>Parfum d’ambiance fabriqué en France. Parfum de Grasse : Rose éternelle.</p>;;Diffuseur de parfum rose Quintessence;;;diffuseur-de-parfum-a-tiges-150ml-rose-eternelle;;;1;;2016-04-19;1;;;Hauteur:140,Diamètre:58,Poids:435,Durée de combustion:2mois,Collection:Quintessence,Parfum:Rose éternelle;0;;0;0;0;0;0;1
2391885;1;Diffuseur de parfum à tiges 150ml rhubarbe sauvage;12,11,3;31,92;1;;0;;;;;2391885;;;;3023673918851;;0;;;;;10;1;;;;;;<p>Dans un parfum de gourmandise, ce bouquet parfumé rhubarbe sauvage dévoilera les senteurs sucrées et pétillantes d’un délicieux fruit acidulé.<br> Les premières notes de ce diffuseur de parfum rhubarbe sauvage libèrent un accord fruité extrêmement fusant. Au cœur de ce parfum d’ambiance la rhubarbe s’ouvre peu à peu pour révéler un trésor acidulé adouci par les notes vertes de l’iris. Secret d’une féminité satinée, le fond de la senteur d’intérieur se pare lentement d’accords poudrés.<br> Les tiges en bois fournies avec le parfum d’intérieur permettent une diffusion permanente du parfum pendant plusieurs semaines. Sobre et élégant, le flacon en verre s’intégrera parfaitement dans votre décoration.<br> Prolongez vos moments de plaisirs olfactifs en découvrant toute notre collection de diffuseurs de parfum d’ambiance fruités.<br> Parfum d’ambiance fabriqué en France. Parfum de Grasse : Rhubarbe sauvage.</p>;;Diffuseur de parfum à tiges rhubarbe Quintessence;;;diffuseur-de-parfum-a-tiges-150ml-rhubarbe-sauvage;;;1;;2016-04-19;1;;;Hauteur:140,Diamètre:58,Poids:435,Durée de combustion:2mois,Collection:Quintessence,Parfum:Rhubarbe sauvage;0;;0;0;0;0;0;1
2391895;1;Diffuseur de parfum à tiges 150ml lys royal;12,11,3;31,92;1;;0;;;;;2391895;;;;3023673918950;;0;;;;;10;1;;;;;;<p>Laissez-vous envoûter par les effluves du diffuseur de parfum lys royal. L’intensité et la douceur de ce parfum d’intérieur résonnent dans une incroyable harmonie olfactive, pour laisser place à une atmosphère d’une extrême tendresse.<br> Parfum d’une nouvelle romance, ce bouquet parfumé exhale des premiers accords verts et fruités. En cœur, une somptueuse composition florale est sublimée par la pureté du lys… Pour enfin laisser place à un fond chypré, oscillant entre mousse et musc.<br> Les tiges en bois fournies avec le diffuseur senteur lys permettent une diffusion permanente de la senteur pendant plusieurs semaines.Le flacon, sobre et élégant, apportera une pointe de charme dans votre décoration intérieure.<br> Cette parfum vous plaît ? Découvrez également notre sélection de parfums d’intérieur floraux.<br>Parfum d’ambiance fabriqué en France. Parfum de Grasse : Lys royal.</p>;;Diffuseur de parfum lys Quintessence;;;diffuseur-de-parfum-a-tiges-150ml-lys-royal;;;1;;2016-04-19;1;;;Hauteur:140,Diamètre:58,Poids:435,Durée de combustion:2mois,Collection:Quintessence,Parfum:Lys royal;0;;0;0;0;0;0;1
2391905;1;Diffuseur de parfum à tiges 150ml patchouli mystique;12,11,3;31,92;1;;0;;;;;2391905;;;;3023673919056;;0;;;;;10;1;;;;;;<p>Intégrant le sillage des plus grands parfums, l’essence de patchouli dévoile toute sa splendeur dans le diffuseur de parfum patchouli mystique. Symbole de libération, les effluves uniques de ce parfum d’ambiance ensorcelleront vos sens.<br> Dans ses premiers accords, ce parfum d’intérieur laisse échapper la tonicité des notes herbacées d’une sauge. La complexité des effluves d’un cœur boisé se dévoile peu à peu. Enfin, la chaleur envoûtante du patchouli s’illumine de volupté dans ses dernières notes ambrées, subtilement vanillées.<br>Grâce aux tiges en bois fournies, le bouquet parfumé diffusera sa senteur enivrante pendant plusieurs semaines. Doté d’une élégance intemporelle, le flacon en verre s’intégrera parfaitement dans votre intérieur.<br>Pour offrir une ambiance unique à chacune des pièces de votre habitat, découvrez toute notre collection de diffuseurs de parfum.<br>Parfum d’ambiance fabriqué en France. Parfum de Grasse : Patchouli mystique.</p>;;Diffuseur de parfum patchouli Quintessence;;;diffuseur-de-parfum-a-tiges-150ml-patchouli-mystique;;;1;;2016-04-19;1;;;Hauteur:140,Diamètre:58,Poids:435,Durée de combustion:2mois,Collection:Quintessence,Parfum:Patchouli mystique;0;;0;0;0;0;0;1
2391915;1;Diffuseur de parfum à tiges 150ml pivoine céleste;12,11,3;31,92;1;;0;;;;;2391915;;;;3023673919155;;0;;;;;10;1;;;;;;<p>Le diffuseur de parfum pivoine céleste enveloppera votre intérieur d’une incroyable volupté. Les senteurs de ce parfum d’ambiance vous offriront le sillage unique d’un généreux cœur de pétales.<br>Elixir de délicatesse et de féminité, ce diffuseur d’intérieur révèle la senteur envoutante de la « Fleur aux mille pétales ». La fraîcheur des notes fruitées ouvre le chemin d’un cœur floral miellé et épicé… Qui se réchauffe sur un accord boisé aux nuances orientales.<br>Grâce aux tiges de bois fournies avec le diffuseur d’ambiance, ce bouquet parfumé dégage la senteur de manière uniforme pendant plusieurs semaines. L’élégant flacon en verre de ce parfum d’intérieur s’intégrera facilement dans votre décoration.<br>Découvrez également toutes les bougies parfumées et senteurs intemporelles de notre collection Charme.<br>Parfum d’ambiance fabriqué en France. Parfum de Grasse : Pivoine céleste.</p>;;Diffuseur de parfum pivoine Quintessence;;;diffuseur-de-parfum-a-tiges-150ml-pivoine-celeste;;;1;;2016-04-19;1;;;Hauteur:140,Diamètre:58,Poids:435,Durée de combustion:2mois,Collection:Quintessence,Parfum:Pivoine celeste;0;;0;0;0;0;0;1
2391925;1;Diffuseur de parfum à tiges 150ml ambre rare;12,11,3;31,92;1;;0;;;;;2391925;;;;3023673919254;;0;;;;;10;1;;;;;;<p>Dans le secret d’un sillage envoûtant, le diffuseur de parfum ambre rare vous fera traverser les continents.<br>Alors que la fraîcheur de ses premiers accords éveille les sens, la senteur de ce se fait de plus en plus intense. Le parfum d’ambiance senteur ambre se drape d’un harmonieux accord de notes florales et boisées. Le fond ambré dévoile, dans une fragrance éclatante, la chaleur et la sensualité d’un sillage unique.<br>Grâce aux tiges en bois fournies, le bouquet parfumé diffusera sa senteur enivrante pendant plusieurs semaines. D’une simplicité élégante, le flacon en verre s’intégrera parfaitement dans votre intérieur.<br>Ce parfum d’ambiance a enivré vos sens ? Découvrez toute notre collection de diffuseurs et vaporisateurs d’intérieur orientaux.<br>Parfum d’ambiance fabriqué en France. Parfum de Grasse : Ambre rare.</p>;;Diffuseur de parfum ambre Quintessence;;;diffuseur-de-parfum-a-tiges-150ml-ambre-rare;;;1;;2016-04-19;1;;;Hauteur:140,Diamètre:58,Poids:435,Durée de combustion:2mois,Collection:Quintessence,Parfum:Ambre rare;0;;0;0;0;0;0;1
2391935;1;Diffuseur de parfum à tiges 150ml cèdre divin;12,11,3;31,92;1;;0;;;;;2391935;;;;3023673919353;;0;;;;;10;1;;;;;;<p>Laissez-vous envoûter par les effluves nobles et précieux du diffuseur de parfum cèdre divin. Rappelant la prestance d’un arbre majestueux, ce diffuseur d’ambiance enveloppera votre pièce d’une senteur à l’élégance intemporelle.<br>Dans ses premiers accords, ce parfum d’intérieur laisse échapper de pétillantes notes d’orange. La fragrance de ce bouquet parfumé boisé glisse sur un cœur épicé qui rehausse l’intensité racée du cèdre dans un parfum enivrant.<br>Les tiges en bois fournies avec le parfum d’ambiance permettent une diffusion permanente de la senteur pendant plusieurs semaines. Sobre et élégant, le flacon en verre s’intégrera parfaitement dans votre décoration.<br>Parfumez votre intérieur de senteurs empreintes d’élégance avec tous nos diffuseurs et vaporisateurs d’intérieur boisés.<br>Parfum d’ambiance fabriqué en France. Parfum de Grasse : Cèdre divin.</p>;;Diffuseur de parfum cèdre Quintessence;;;diffuseur-de-parfum-a-tiges-150ml-cedre-divin;;;1;;2016-04-19;1;;;Hauteur:140,Diamètre:58,Poids:435,Durée de combustion:2mois,Collection:Quintessence,Parfum:Cèdre divin;0;;0;0;0;0;0;1
2391955;1;Diffuseur de parfum à tiges 150ml vanille authentique;12,11,3;31,92;1;;0;;;;;2391955;;;;3023673919551;;0;;;;;10;1;;;;;;<p>Libérant des arômes chauds et sucrés, le diffuseur de parfum vanille authentique embaumera votre intérieur d’une ambiance extrêmement gourmande. Aux notes irrésistibles, ce diffuseur senteur vanille laissera échapper les effluves d’un sillage exotique.<br>Porté par des notes de tête épicées, les premiers accords de ce parfum d’intérieur se mêlent doucement à la volupté d’un cœur floral. Les dernières notes s’étoffent de vanille tandis qu’une touche de caramel sublime la senteur de cette magnifique « Fleur noire ».<br>Grâce aux tiges en bois fournies avec le diffuseur d’intérieur, le parfum se diffuse uniformément pendant plusieurs semaines. Habillé d’un flacon pur et raffiné, ce parfum d’ambiance complétera parfaitement votre décoration de charme.<br>Senteurs incontournables et parfums d’Histoire… Découvrez toute notre collection de bougies parfumées et diffuseurs d’ambiance Quintessence.<br>Parfum d’ambiance fabriqué en France. Parfum de Grasse : Vanille authentique.</p>;;Diffuseur de parfum vanille Quintessence;;;diffuseur-de-parfum-a-tiges-150ml-vanille-authentique;;;1;;2016-04-19;1;;;Hauteur:140,Diamètre:58,Poids:435,Durée de combustion:2mois,Collection:Quintessence,Parfum:Vanille authentique;0;;0;0;0;0;0;1
2391965;1;Diffuseur de parfum à tiges 150ml mûre gourmande;12,11,3;31,92;1;;0;;;;;2391965;;;;3023673919650;;0;;;;;10;1;;;;;;<p>Délicieux à souhait, les effluves du diffuseur de parfum mûre gourmande éveilleront les souvenirs d’une cueillette de savoureuses mûres sauvages de votre enfance.<br>Ce diffuseur d’ambiance à la mûre laisse échapper une mélodie olfactive aux notes gourmandes. Les premiers accords de ce parfum d’intérieur diffusent les arômes d’un panier de fruits. Le cœur de ce parfum d’ambiance dévoile peu à peu l’intensité de fruits rouges, dans lesquels de délicieuses mûres révèlent leur irrésistible saveur. Enfin, la violette se révèle donnant à cette senteur un petit air mutin.<br>Les tiges en bois fournies avec le bouquet parfumé permettent une diffusion constante du parfum pendant plusieurs semaines. Le flacon, sobre et raffiné, apportera une pointe de charme dans votre décoration.<br>Prolongez vos moments de plaisirs olfactifs avec notre collection de recharges de diffuseur de parfum.<br>Parfum d’ambiance fabriqué en France. Parfum de Grasse : Mûre gourmande.</p>;;Diffuseur de parfum mûre Quintessence;;;diffuseur-de-parfum-a-tiges-150ml-mure-gourmande;;;1;;2016-04-19;1;;;Hauteur:140,Diamètre:58,Poids:435,Durée de combustion:2mois,Collection:Quintessence,Parfum:Mûre gourmande;0;;0;0;0;0;0;1
2391985;1;Diffuseur de parfum à tiges 150ml figue millénaire;12,11,3;31,92;1;;0;;;;;2391985;;;;3023673919858;;0;;;;;10;1;;;;;;<p>Laissez-vous séduire par les effluves sucrés du diffuseur de parfum figue millénaire. Révélant la douceur du parfum d’un été en Provence, ce diffuseur d’ambiance à la figue dévoilera des senteurs aux tonalités ensoleillées.<br>Les premières notes de ce parfum d’intérieur rappellent la caresse d’une brise rafraîchissante. Le cœur de ce parfum d’ambiance délivre peu à peu les effluves juteux et fruités d’une délicieuse figue mûrie au soleil. Ces accords s’entrelacent dans un fond boisé, chaud et subtilement vanillé.<br>Les tiges en bois fournies avec la senteur d’intérieur permettent une diffusion permanente du parfum pendant plusieurs semaines. Le flacon, classique et raffiné, apportera une pointe de charme dans votre décoration intérieure.<br>Ce parfum vous plaît ? Découvrez aussi toute notre collection de diffuseurs d’ambiance fruités.<br>Parfum d’ambiance fabriqué en France. Parfum de Grasse : Figue millénaire.</p>;;Diffuseur de parfum figue Quintessence;;;diffuseur-de-parfum-a-tiges-150ml-figue-millenaire;;;;;2016-04-19;1;;;Hauteur:140,Diamètre:58,Poids:435,Durée de combustion:2mois,Collection:Quintessence,Parfum:Figue millenaire;0;;0;0;0;0;0;1
